feature_a,feature_b,correlation
MI_dir_L0.01_variance,H_L0.1_variance,0.999889434129418
HH_L5_mean,HpHp_L5_mean,0.9998672367465806
HH_L5_mean,HpHp_L3_mean,0.999866806614999
HH_L5_mean,HpHp_L1_mean,0.9998630467648516
HH_L3_mean,HpHp_L3_mean,0.999840511761715
HH_L3_mean,HpHp_L5_mean,0.9998400899899705
HH_L3_mean,HpHp_L1_mean,0.9998382325417804
HH_L5_mean,HpHp_L0.1_mean,0.9998209732027721
HH_L3_mean,HpHp_L0.1_mean,0.9997968180176994
HH_L5_mean,HpHp_L0.01_mean,0.9997859619759538
HH_L1_mean,HpHp_L1_mean,0.9997848563498369
HH_L1_mean,HpHp_L3_mean,0.999782598269395
HH_L1_mean,HpHp_L5_mean,0.9997806940429526
HH_L3_mean,HpHp_L0.01_mean,0.9997618624972653
HH_L1_mean,HpHp_L0.1_mean,0.9997458662034107
HpHp_L1_magnitude,HpHp_L0.01_magnitude,0.9997186758449339
HH_L1_mean,HpHp_L0.01_mean,0.9997111119021473
HpHp_L3_magnitude,HpHp_L0.01_magnitude,0.9996970577843997
HpHp_L5_magnitude,HpHp_L0.01_magnitude,0.9996815660487615
HH_L0.1_mean,HH_L0.01_mean,0.9996477292606446
HH_L0.1_magnitude,HH_L0.01_magnitude,0.999504411898314
HH_jit_L3_mean,HH_jit_L1_mean,0.9994553318003693
HH_jit_L0.1_mean,HH_jit_L0.01_mean,0.9994462948912076
HH_L1_mean,HH_L0.1_mean,0.9994291438020874
HH_jit_L5_mean,HH_jit_L1_mean,0.9994129881468887
MI_dir_L0.1_mean,MI_dir_L0.01_mean,0.9993646201616777
H_L0.1_mean,H_L0.01_mean,0.9993645873930082
MI_dir_L0.01_mean,H_L0.1_mean,0.9993643596327747
MI_dir_L0.1_mean,H_L0.01_mean,0.9993642853682584
HH_L1_magnitude,HH_L0.1_magnitude,0.9993240973895482
HH_L3_mean,HH_L0.1_mean,0.9993135268043101
HH_L5_mean,HH_L0.1_mean,0.9992916202887325
HH_L0.1_mean,HpHp_L0.1_mean,0.9991419316163611
HH_L0.1_mean,HpHp_L0.01_mean,0.9991348741942916
HH_L3_magnitude,HH_L0.1_magnitude,0.9991279010893643
HH_L0.1_mean,HpHp_L1_mean,0.9991032674421428
HH_L0.1_mean,HpHp_L3_mean,0.9990985696287925
HH_L0.1_mean,HpHp_L5_mean,0.9990959967438148
HH_L5_magnitude,HH_L0.1_magnitude,0.9990787752786339
HpHp_L0.1_weight,HpHp_L0.01_weight,0.999070287061442
HpHp_L0.1_radius,HpHp_L0.01_radius,0.9987548007188805
HH_L1_mean,HH_L0.01_mean,0.9985433478897755
HH_L3_mean,HH_L0.01_mean,0.9984114740458895
HH_L5_mean,HH_L0.01_mean,0.9983882249162435
HH_L1_magnitude,HH_L0.01_magnitude,0.9983837186149004
HH_L0.01_mean,HpHp_L0.01_mean,0.9982734562417797
HH_L0.01_mean,HpHp_L0.1_mean,0.9982661812322847
HH_L0.01_mean,HpHp_L1_mean,0.9981995327530875
HH_L0.01_mean,HpHp_L3_mean,0.99819456823604
HH_L0.01_mean,HpHp_L5_mean,0.9981919178051607
HH_L3_magnitude,HH_L0.01_magnitude,0.9981885770162081
HH_L5_magnitude,HH_L0.01_magnitude,0.9981418427127091
HH_L5_weight,HH_L3_weight,0.9980112327166617
HH_L5_weight,HH_jit_L3_weight,0.9980112327166617
HH_L3_weight,HH_jit_L5_weight,0.9980112327166617
HH_jit_L5_weight,HH_jit_L3_weight,0.9980112327166617
MI_dir_L1_variance,H_L0.1_variance,0.9971125924873668
H_L1_variance,H_L0.1_variance,0.9971125924391744
MI_dir_L1_variance,MI_dir_L0.1_variance,0.9971125922014022
MI_dir_L0.1_variance,H_L1_variance,0.9971125921164354
HH_L5_covariance,HpHp_L5_covariance,0.9970584079006243
MI_dir_L1_variance,H_L0.01_variance,0.9965343404727445
H_L1_variance,H_L0.01_variance,0.9965343403971597
MI_dir_L1_variance,MI_dir_L0.01_variance,0.9965343401657194
MI_dir_L0.01_variance,H_L1_variance,0.9965343400647543
HH_L5_radius,HH_L3_radius,0.996231330576645
HH_L3_magnitude,HpHp_L3_magnitude,0.9960400321164811
HH_L1_magnitude,HpHp_L1_magnitude,0.996038677786418
HH_L3_magnitude,HpHp_L5_magnitude,0.9960359650084603
HH_L3_magnitude,HpHp_L1_magnitude,0.9960311259229819
HH_L1_magnitude,HpHp_L3_magnitude,0.9960286127567597
HH_L5_magnitude,HpHp_L5_magnitude,0.9960237085415541
HH_L5_magnitude,HpHp_L3_magnitude,0.9960198859047548
HH_L1_magnitude,HpHp_L5_magnitude,0.9960169066899984
HH_L5_magnitude,HpHp_L1_magnitude,0.9960033633684737
HH_L1_magnitude,HpHp_L0.1_magnitude,0.9959540762223005
HH_L3_magnitude,HpHp_L0.1_magnitude,0.9959359077691786
HH_L5_magnitude,HpHp_L0.1_magnitude,0.9959046889947865
HH_L1_magnitude,HpHp_L0.01_magnitude,0.995711654044872
HH_L3_magnitude,HpHp_L0.01_magnitude,0.9957096550790127
HH_L5_magnitude,HpHp_L0.01_magnitude,0.9956813789033799
HH_L0.1_magnitude,HpHp_L0.1_magnitude,0.9954210234974821
HH_L0.1_magnitude,HpHp_L1_magnitude,0.9953709352331638
HH_L0.1_magnitude,HpHp_L3_magnitude,0.9953493281937088
HH_L0.1_magnitude,HpHp_L5_magnitude,0.995333857945623
HH_L0.1_magnitude,HpHp_L0.01_magnitude,0.9952693977147627
HH_L0.01_magnitude,HpHp_L0.1_magnitude,0.9949917705058162
HH_L0.01_magnitude,HpHp_L0.01_magnitude,0.9949063160398459
HH_L0.01_magnitude,HpHp_L1_magnitude,0.994829027978883
HH_L0.01_magnitude,HpHp_L3_magnitude,0.9948062247369177
HH_L0.01_magnitude,HpHp_L5_magnitude,0.9947902907788482
HpHp_L5_covariance,HpHp_L3_covariance,0.9930211477491876
HH_jit_L1_mean,HH_jit_L0.1_mean,0.9928927721505109
HpHp_L3_covariance,HpHp_L3_pcc,0.992802103268785
MI_dir_L1_mean,MI_dir_L0.1_mean,0.9926568970461289
MI_dir_L0.1_mean,H_L1_mean,0.992656884243761
H_L1_mean,H_L0.1_mean,0.9926568377233596
MI_dir_L1_mean,H_L0.1_mean,0.9926568344910074
MI_dir_L3_weight,H_L5_weight,0.9925878123143119
MI_dir_L5_weight,MI_dir_L3_weight,0.9925878123143118
MI_dir_L5_weight,H_L3_weight,0.9925878123140522
H_L5_weight,H_L3_weight,0.9925878123140522
MI_dir_L5_mean,H_L3_mean,0.9921072380005731
H_L5_mean,H_L3_mean,0.9921072380005731
MI_dir_L5_mean,MI_dir_L3_mean,0.9921072379924838
MI_dir_L3_mean,H_L5_mean,0.9921072379924838
HH_jit_L5_variance,HH_jit_L3_variance,0.9920255807222651
HpHp_L5_std,HpHp_L3_std,0.990479386197595
HH_L5_covariance,HpHp_L3_covariance,0.9902407332820957
MI_dir_L1_mean,MI_dir_L0.01_mean,0.9901482902149777
MI_dir_L0.01_mean,H_L1_mean,0.9901482738325749
H_L1_mean,H_L0.01_mean,0.9901481217958329
MI_dir_L1_mean,H_L0.01_mean,0.9901481154104823
